value,site_id,site,deck_id,owner_id
https://deckstats.net/decks/141106/1495567-glissa/en,3,Deckstats,1495567,141106
https://deckstats.net/decks/141106/1425971-edgar-motherfucking-markov/en,3,Deckstats,1425971,141106
http://tappedout.net/mtg-decks/greven-group-slug-final,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/etb-combo-alesha,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/03-01-18-karametra-god-of-ramp,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/18-09-18-windgrace-land-destruction,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/22-04-18-kess-spellslinger,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/sidisis-big-black-deck,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/01-06-19-equipment-edh/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/ghave-guru-of-spores-super-synergies/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/26-10-17-ghave-guru-of-spores/,2,TappedOut,NA,NA
https://archidekt.com/decks/205297,1,Archidekt,205297,NA
https://tappedout.net/mtg-decks/fullmetal-narset/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/budget-fullmetal-narset/,2,TappedOut,NA,NA
https://www.mtggoldfish.com/deck/2576087,4,MTG Goldfish,NA,NA
https://tappedout.net/mtg-decks/20-10-19-clerics-of-athreos/,2,TappedOut,NA,NA
https://www.mtggoldfish.com/deck/2702547,4,MTG Goldfish,NA,NA
https://tappedout.net/mtg-decks/05-02-20-wort-the-stormmother/,2,TappedOut,NA,NA
